Адрес;Код;IP;CR;AR;DR;SP;BR;AC;NZVC;Адрес;Новый код
550;AF80;551;AF80;550;FF80;000;FF80;FF80;1000;;
551;0740;552;0740;551;0740;000;0551;FF7F;1001;;
552;0680;553;0680;552;0680;000;0552;7FFF;0001;;
553;EEFB;554;EEFB;54F;7FFF;000;FFFB;7FFF;0001;54F;7FFF
554;AF04;555;AF04;554;0004;000;0004;0004;0001;;
555;EEF8;556;EEF8;54E;0004;000;FFF8;0004;0001;54E;0004
556;4EF5;557;4EF5;54C;0563;000;FFF5;0567;0000;;
557;EEF5;558;EEF5;54D;0567;000;FFF5;0567;0000;54D;0567
558;ABF4;559;ABF4;566;6FF3;000;FFF4;6FF3;0000;54D;0566
559;0480;55A;0480;559;0480;000;0559;37F9;0011;;
55A;F401;55C;F401;55A;F401;000;0001;37F9;0011;;
55C;0400;55D;0400;55C;0400;000;055C;6FF3;0000;;
55D;7EF1;55E;7EF1;54F;7FFF;000;FFF1;6FF3;1000;;
55E;F901;55F;F901;55E;F901;000;055E;6FF3;1000;;
55F;EEEF;560;EEEF;54F;6FF3;000;FFEF;6FF3;1000;54F;6FF3
560;854E;561;854E;54E;0003;000;0002;6FF3;1000;54E;0003
561;CEF6;558;CEF6;561;0558;000;FFF6;6FF3;1000;;
558;ABF4;559;ABF4;565;7F03;000;FFF4;7F03;0000;54D;0565
559;0480;55A;0480;559;0480;000;0559;3F81;0011;;
55A;F401;55C;F401;55A;F401;000;0001;3F81;0011;;
55C;0400;55D;0400;55C;0400;000;055C;7F03;0000;;
55D;7EF1;55E;7EF1;54F;6FF3;000;FFF1;7F03;0001;;
55E;F901;560;F901;55E;F901;000;0001;7F03;0001;;
560;854E;561;854E;54E;0002;000;0001;7F03;0001;54E;0002
561;CEF6;558;CEF6;561;0558;000;FFF6;7F03;0001;;
558;ABF4;559;ABF4;564;8F00;000;FFF4;8F00;1001;54D;0564
559;0480;55A;0480;559;0480;000;0559;C780;1010;;
55A;F401;55B;F401;55A;F401;000;055A;C780;1010;;
55B;CE04;560;CE04;55B;0560;000;0004;C780;1010;;
560;854E;561;854E;54E;0001;000;0000;C780;1010;54E;0001
561;CEF6;558;CEF6;561;0558;000;FFF6;C780;1010;;
558;ABF4;559;ABF4;563;5ABD;000;FFF4;5ABD;0000;54D;0563
559;0480;55A;0480;559;0480;000;0559;2D5E;0011;;
55A;F401;55C;F401;55A;F401;000;0001;2D5E;0011;;
55C;0400;55D;0400;55C;0400;000;055C;5ABD;0000;;
55D;7EF1;55E;7EF1;54F;6FF3;000;FFF1;5ABD;1000;;
55E;F901;55F;F901;55E;F901;000;055E;5ABD;1000;;
55F;EEEF;560;EEEF;54F;5ABD;000;FFEF;5ABD;1000;54F;5ABD
560;854E;562;854E;54E;0000;000;FFFF;5ABD;1000;54E;0000
562;0100;563;0100;562;0100;000;0562;5ABD;1000;;